==PROF== Connected to process 697 (/mnt/d/D_backup/2025/tum/26S/apache_mout/_colab_test/apache_mout/colab_ncu_bundle/build/bench_kernels)
Bench execution complete. Duration: 76 us
Correctness Verification - Max Absolute Error: 0
[  PASSED  ] KernelBench.Correctness
==PROF== Disconnected from process 697
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","33.62"
"0","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3136"
"0","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"0","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__shared_mem_per_block","byte/block","1024"
"0","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","16.07"
"0","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","10.37"
"0","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","22.73"
"1","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","32.94"
"1","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3232"
"1","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"1","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__shared_mem_per_block","byte/block","1024"
"1","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","10.26"
"1","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","10.12"
"1","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","21.83"
"2","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","32.37"
"2","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3296"
"2","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"2","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__shared_mem_per_block","byte/block","1024"
"2","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","10.01"
"2","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","9.88"
"2","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","21.98"
"3","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","33.27"
"3","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3168"
"3","697","bench_kernels","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long, unsigned long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
