==PROF== Connected to process 5204 (D:\D_backup\2025\tum\26S\apache_mout\qdp\qdp-kernels\build\bench_kernels.exe)
Bench execution complete. Duration: 113 us
Correctness Verification - Max Absolute Error: 0
[  PASSED  ] KernelBench.Correctness
==PROF== Disconnected from process 5204
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","33.27"
"0","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3,168"
"0","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"0","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__shared_mem_per_block","byte/block","1,024"
"0","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","16.80"
"0","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","10.28"
"0","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","21.76"
"1","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","33.68"
"1","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3,168"
"1","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"1","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__shared_mem_per_block","byte/block","1,024"
"1","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","10.54"
"1","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","10.37"
"1","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","21.74"
"2","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","33.62"
"2","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3,168"
"2","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"2","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__shared_mem_per_block","byte/block","1,024"
"2","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","10.50"
"2","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","10.30"
"2","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","21.65"
"3","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","33.27"
"3","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3,200"
"3","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"3","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","launch__shared_mem_per_block","byte/block","1,024"
"3","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","10.77"
"3","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","10.26"
"3","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","21.73"
"4","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","33.62"
"4","5204","bench_kernels.exe","127.0.0.1","fwt_butterfly_batch_kernel(double2 *, unsigned long long, unsigned long long, unsigned int, unsigned int)","1","7","(256, 1, 1)","(32, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","3,168"
